(PDH-CSV 4.0) (India Standard Time)(-330),Available MBytes,Processor Time,KBytes Total,HighCPU,HighRAM,NoNetwork
07:34.5,792,97.12998341,9.100202933,1,0,0
07:35.5,901,48.23117253,12.6789545,0,0,0
07:36.5,898,7.466292254,11.84022768,0,0,0
07:37.5,894,1.146971131,52.42241118,0,0,0
07:38.5,891,1.536163749,29.95031973,0,0,0
07:39.5,871,27.63967334,10.9026378,0,0,0
07:40.5,657,60.26345417,53.60815794,0,0,0
07:41.5,560,82.96627586,49.04945729,1,0,0
07:42.5,663,74.34450634,49.10066028,0,0,0
07:43.5,825,96.88029197,32.60699596,1,0,0
07:44.5,1015,80.89179082,36.88743862,1,0,0
07:45.5,759,47.64017586,54.39093128,0,0,0
07:46.5,500,96.1504047,64.25786086,1,0,0
07:47.5,576,89.40742747,38.39708798,1,0,0
07:48.5,720,96.12362819,48.86093977,1,0,0
07:49.5,898,74.84106428,47.19598088,0,0,0
07:50.5,662,69.94275547,66.69734078,0,0,0
07:51.5,497,97.29728017,12.01935712,1,0,0
07:52.5,480,21.3060612,104.3440239,0,0,0
07:53.5,606,68.81871529,16.90037503,0,0,0
07:54.5,764,97.67416896,20.94212757,1,0,0
07:55.5,822,82.46917566,44.30267684,1,0,0
07:56.5,479,98.43702003,54.77245258,1,0,0
07:57.5,403,85.93318023,15.73353113,1,0,0
07:58.5,451,98.43073037,24.1786551,1,0,0
07:59.5,518,99.60964864,6.715594685,1,0,0
08:00.5,681,98.83939185,11.3735416,1,0,0
08:01.5,816,81.3191136,19.69890192,1,0,0
08:02.5,709,63.1962105,34.50275566,0,0,0
08:03.5,402,82.34571915,93.25179376,1,0,0
08:04.5,413,82.5909175,36.9715575,1,0,0
08:05.5,556,96.87090468,35.46470863,1,0,0
08:06.5,786,92.17726171,0,1,0,1
08:07.5,617,79.08834737,0,0,0,1
08:08.5,426,74.67769707,0,0,0,1
08:09.5,494,88.67974063,0,1,0,1
08:10.5,656,93.34399893,0,1,0,1
08:11.5,836,89.09192997,0,1,0,1
08:12.5,511,98.83010699,0,1,0,1
08:13.5,453,89.1245238,0,1,0,1
08:14.5,632,96.8896231,0,1,0,1
08:15.5,829,95.32511284,0,1,0,1
08:16.5,708,66.65302283,0,0,0,1
08:17.5,506,66.26069787,0,0,0,1
08:18.5,402,93.04327248,0,1,0,1
08:19.5,571,97.64609052,0,1,0,1
08:20.5,718,94.57846668,0,1,0,1
08:21.5,842,33.30603559,0,0,0,1
08:22.5,668,69.00692225,0,0,0,1
08:23.5,477,91.03084692,0,1,0,1
08:24.5,548,71.20029514,0,0,0,1
08:26.5,691,99.21929729,0,1,0,1
08:28.5,730,65.0778952,0,0,0,1
08:30.5,566,33.8350199,0,0,0,1
08:32.5,398,53.18870926,0,0,0,1
08:34.5,504,37.72224768,0,0,0,1
08:35.5,616,93.36398192,0,1,0,1
08:36.5,333,88.26589758,0,1,1,1
08:37.5,318,8.839695451,0,0,1,1
08:38.5,317,1.923014111,0,0,1,1
08:39.5,315,52.2571543,2.484791224,0,1,0
08:41.5,423,84.11553957,1.273941096,1,0,0
08:43.5,557,94.74600444,8.221421342,1,0,0
08:45.5,285,80.12455951,18.81265836,1,1,0
08:47.5,611,95.41709291,34.9409659,1,0,0
08:49.5,520,38.46768136,35.68941044,0,0,0
08:51.5,408,91.82764184,75.64067404,1,0,0
08:52.5,723,91.14210463,69.7936294,1,0,0
08:53.5,597,22.31957985,127.7256039,0,0,0
08:54.5,256,89.49200888,38.55404757,1,1,0
08:55.5,162,84.74565783,58.28392351,1,1,0
08:56.5,328,94.55140314,72.91841096,1,1,0
08:57.5,454,95.66269864,84.57210262,1,0,0
08:58.5,394,68.86518933,70.09015806,0,1,0
08:59.5,409,14.54982988,22.12882965,0,0,0
09:00.5,122,82.84160584,74.01065037,1,1,0
09:01.5,157,85.26976328,109.4891903,1,1,0
09:02.5,339,96.43688423,40.13324683,1,1,0
09:03.5,517,92.63488164,35.35440582,1,0,0
09:04.5,471,66.27551957,118.9427878,0,0,0
09:05.5,232,93.68480156,80.22599054,1,1,0
09:06.5,322,87.64168157,50.35434538,1,1,0
09:07.5,510,96.46452956,89.99283688,1,0,0
09:08.5,672,64.00460634,20.8623026,0,0,0
09:09.5,458,80.70818912,24.7591676,1,0,0
09:10.5,274,96.48926785,18.34936399,1,1,0
09:11.5,377,85.19175364,53.30345909,1,1,0
09:12.5,491,94.15463512,75.5747481,1,0,0
09:13.5,544,91.71720087,76.59724887,1,0,0
09:14.5,256,98.44589436,21.19717571,1,1,0
09:15.5,251,46.04856295,60.16178626,0,1,0
09:16.5,302,36.03307181,35.72813054,0,1,0
09:17.5,469,93.7711694,48.44684808,1,0,0
09:18.5,662,91.74224966,41.42570603,1,0,0
09:19.5,349,87.6287646,32.58671437,1,1,0
09:20.5,234,87.55475921,33.02723541,1,1,0
09:21.5,353,79.32573515,22.16852031,0,1,0
09:22.5,539,96.85101501,35.46207312,1,0,0
09:23.5,693,89.82738373,16.51573552,1,0,0
09:24.5,371,97.6595219,63.01084996,1,1,0
09:25.5,424,84.21194604,82.42197627,1,0,0
09:26.5,562,95.30023475,27.52137628,1,0,0
09:27.5,810,92.5587025,39.256591,1,0,0
09:28.5,727,54.10816959,46.18974581,0,0,0
09:29.5,444,97.2667106,20.81447505,1,0,0
09:30.5,523,83.53428475,24.15326296,1,0,0
09:31.5,666,94.91879338,20.25137976,1,0,0
09:32.5,895,84.1963452,31.08634346,1,0,0
09:33.5,561,91.77540327,81.21100808,1,0,0
09:34.5,460,85.47990282,38.09943609,1,0,0
09:35.5,618,94.54433344,32.84537251,1,0,0
09:37.5,708,95.30965311,35.44469688,1,0,0
09:38.5,477,93.95375075,44.48828704,1,0,0
09:39.5,538,76.15740583,35.15632465,0,0,0
09:40.5,667,93.46018119,27.27534305,1,0,0
09:41.5,841,96.46808637,10.296086,1,0,0
09:42.5,590,96.48224234,28.62031571,1,0,0
09:43.5,481,93.38186999,16.68690621,1,0,0
09:44.5,584,74.72059716,52.71689222,0,0,0
09:45.5,710,95.897488,42.59468232,1,0,0
09:46.5,900,67.89104206,30.11927808,0,0,0
09:47.5,542,94.30538871,54.15171198,1,0,0
09:48.5,460,81.31350821,23.32076437,1,0,0
09:49.5,660,94.48371492,25.50143835,1,0,0
09:50.5,833,92.61799571,50.57333595,1,0,0
09:51.5,726,86.94897902,32.07701762,1,0,0
09:52.5,518,60.99194839,34.06336848,0,0,0
09:53.5,524,78.37177336,41.62332093,0,0,0
09:54.5,672,92.98557014,19.9053491,1,0,0
09:55.5,916,92.63267166,19.51245483,1,0,0
09:56.5,758,67.7843927,24.84108159,0,0,0
09:58.5,465,75.4653362,40.24084091,0,0,0
09:59.5,470,59.08012213,122.3050447,0,0,0
10:00.5,549,97.89827578,21.68853359,1,0,0
10:01.5,688,96.47516853,956.7454159,1,0,0
10:03.5,871,100,127.9806765,1,0,0
10:05.5,575,54.02762599,106.3414779,0,0,0
10:06.5,453,49.50287097,29.2769992,0,0,0
10:07.5,500,34.15225,21.58619371,0,0,0
10:08.5,648,97.39699131,16.47798942,1,0,0
10:09.5,780,79.33895042,58.9372438,0,0,0
10:10.5,645,88.01536323,97.35850594,1,0,0
10:11.5,437,64.60807941,54.6566534,0,0,0
10:12.5,472,83.69694326,147.1906903,1,0,0
10:13.5,623,94.08371057,168.0177503,1,0,0
10:14.5,875,93.7711694,23.77041063,1,0,0
10:15.5,496,89.93840435,34.09800069,1,0,0
10:16.5,364,94.93907764,21.31140166,1,1,0
10:17.5,492,95.3699642,13.05893265,1,0,0
10:18.5,602,96.82538746,15.09241646,1,0,0
10:19.5,573,93.86304006,15.45993813,1,0,0
10:20.5,332,96.03978664,13.08730847,1,1,0
10:21.5,425,82.16332133,27.36560927,1,0,0
10:22.5,619,94.56603759,31.56734145,1,0,0
10:24.5,627,48.73227503,41.32585755,0,0,0
10:25.5,299,99.56022772,38.79193975,1,1,0
10:26.5,266,89.84774933,49.7544583,1,1,0
10:27.5,454,96.08746223,88.60165242,1,0,0
10:28.5,596,96.58821949,30.64741581,1,0,0
10:29.5,622,59.08523864,528.5512649,0,0,0
10:30.5,264,100,186.6597331,1,1,0
10:31.5,229,87.78535505,102.3449996,1,1,0
10:33.5,382,95.30893228,18.48477662,1,1,0
10:34.5,565,76.42035442,20.53361625,0,0,0
10:35.5,213,98.04176699,35.88627232,1,1,0
10:36.5,226,88.39045587,12.71537326,1,1,0
10:37.5,374,99.21592359,38.52839909,1,1,0
10:38.5,553,94.79892169,16.49577961,1,0,0
10:39.5,322,97.13476798,55.45657405,1,1,0
10:40.5,175,95.68322115,107.9262914,1,1,0
10:41.5,275,88.52703874,40.79963788,1,1,0
10:42.5,415,96.12631563,114.76359,1,0,0
10:43.5,540,93.17057026,95.33034024,1,0,0
10:44.5,229,99.61186267,33.66084721,1,1,0
10:45.5,279,85.63882926,146.4444375,1,1,0
10:46.5,421,95.76835485,53.57505385,1,0,0
10:47.5,635,91.99013314,58.61720726,1,0,0
10:48.5,270,96.55811554,29.50256942,1,1,0
10:49.5,164,94.05364813,27.54617749,1,1,0
10:50.5,279,94.98908675,42.52089896,1,1,0
10:51.5,424,93.16909465,42.23789444,1,0,0
10:52.5,339,92.33466781,21.47585218,1,1,0
10:53.5,82,73.41261742,23.71432489,0,1,0
10:54.5,80,82.63736823,20.97778532,1,1,0
10:55.5,211,100,31.061628,1,1,0
10:56.5,399,93.85094753,87.33383884,1,1,0
10:57.5,261,89.82738373,15.08306831,1,1,0
10:58.5,86,98.00368467,16.80678764,1,1,0
10:59.5,198,82.87071586,29.60004601,1,1,0
11:00.5,392,97.73865884,4.977145251,1,1,0
11:01.4,450,90.39801807,10.39921286,1,0,0
11:02.5,132,99.20392242,40.14242324,1,1,0
11:03.5,173,82.16331139,36.15134336,1,1,0
11:04.4,330,93.50502814,57.24210456,1,1,0
11:05.5,553,95.59908905,35.90679049,1,0,0
11:06.4,249,95.3515728,30.94412307,1,1,0
11:07.5,137,85.42123576,9.638034124,1,1,0
11:08.5,298,95.77668486,42.99266069,1,1,0
11:09.5,404,94.89320825,18.91599828,1,0,0
11:10.5,322,95.40180138,29.7001,1,1,0
11:11.5,116,99.20392242,33.64445162,1,1,0
11:12.5,206,81.25739262,37.23411285,1,1,0
11:13.5,363,95.00880491,15.81267166,1,1,0
11:14.5,530,88.93388607,15.33824668,1,0,0
11:15.5,155,99.61378414,20.10202732,1,1,0
11:16.5,158,91.34902585,38.701235,1,1,0
11:17.5,292,97.34380728,18.76613256,1,1,0
11:18.4,479,96.86367424,31.61239935,1,0,0
11:19.5,512,94.76131797,38.39674681,1,0,0
11:20.5,303,100,20.42728505,1,1,0
11:21.4,392,89.16443011,24.15606129,1,1,0
11:22.4,564,99.60477404,17.48640026,1,0,0
11:23.5,743,85.20653232,35.63784236,1,0,0
11:24.5,403,96.1263057,26.38030874,1,0,0
11:25.5,289,84.05453773,30.47498944,1,1,0
11:26.4,397,85.55257598,31.18101887,1,1,0
11:27.5,557,97.640637,24.11069875,1,0,0
11:28.4,663,89.16443011,18.24162849,1,0,0
11:29.5,308,96.07565376,20.47506585,1,1,0
11:30.5,269,89.09954646,17.9681622,1,1,0
11:31.5,399,98.46726713,65.64761377,1,1,0
11:32.5,526,99.2454874,14.90204565,1,0,0
11:33.4,629,93.60523744,53.42322444,1,0,0
11:34.4,323,80.59703132,36.25105105,1,1,0
11:35.5,307,60.52291621,20.45357081,0,1,0
11:36.4,380,66.49851194,73.03710348,0,1,0
11:37.5,381,5.924080881,35.82742143,0,1,0
11:38.4,397,0.446176624,19.32755488,0,1,0
11:39.5,397,2.578483341,35.91241917,0,1,0
11:40.5,397,3.926749742,32.08888272,0,1,0
11:41.4,395,11.06164233,53.62511489,0,1,0
11:42.4,394,9.981419361,14.22335304,0,1,0
11:43.4,393,7.735449285,19.52121194,0,1,0
11:44.4,391,5.115547634,12.46383569,0,1,0
11:45.4,390,9.535346118,6.649161955,0,1,0
11:46.4,388,4.231724588,18.1668637,0,1,0
11:47.4,385,18.66742782,45.08552037,0,1,0
11:48.4,380,3.94413217,10.70326904,0,1,0
11:49.4,380,3.157771574,95.70324348,0,1,0
11:50.4,380,7.142185409,20.89184922,0,1,0
11:51.4,381,7.438526589,17.62291377,0,1,0
11:52.4,380,4.430266053,14.81449459,0,1,0
11:53.4,379,0.521640473,20.30586035,0,1,0
11:54.4,379,0.521630431,11.49184586,0,1,0
11:55.4,377,2.576913393,25.69119376,0,1,0
11:56.4,376,2.382248221,30.66569445,0,1,0
11:57.4,377,2.284444865,22.58430261,0,1,0
11:58.4,376,2.283645864,33.83575908,0,1,0
11:59.4,375,2.479878446,21.80715775,0,1,0
12:00.4,373,1.893575108,18.42724667,0,1,0
12:01.4,370,26.2963447,69.23154044,0,1,0
12:02.4,370,7.307600134,71.97354238,0,1,0
12:03.4,368,13.18567107,118.6659958,0,1,0
12:04.4,365,15.62644521,120.3497181,0,1,0
12:05.4,364,2.381863307,51.07308808,0,1,0
12:06.4,363,2.479875975,16.23042332,0,1,0
12:07.4,358,4.801773847,34.13182904,0,1,0
12:08.4,358,8.903357518,12.39780358,0,1,0
12:09.4,356,14.44913731,15.81779195,0,1,0
12:10.4,353,10.13040741,19.20057726,0,1,0
12:11.4,353,0.919553911,28.48578772,0,1,0
12:12.4,357,1.309621924,21.34798157,0,1,0
12:13.4,356,9.319960184,43.23395968,0,1,0
12:14.4,348,24.47543401,19.76530945,0,1,0
12:15.4,347,15.13217813,21.80077146,0,1,0
12:16.4,346,10.77106109,28.3578019,0,1,0
12:17.4,344,3.349718507,28.23216567,0,1,0
12:18.4,346,3.464925308,22.01817221,0,1,0
